category,language,total_baseline,harmful_baseline,harmful_rate_pct_baseline,harmful_rate_pct_alpha12,harmful_alpha12,total_alpha12,delta_pp_baseline_minus_alpha12
anti_minority_sentiment,bn,30,18,60.0,36.666666666666664,11,30,23.333333333333336
anti_minority_sentiment,gu,30,8,26.666666666666668,23.333333333333332,7,30,3.3333333333333357
anti_minority_sentiment,hi,30,27,90.0,36.666666666666664,11,30,53.333333333333336
anti_minority_sentiment,hi-en,30,15,50.0,46.666666666666664,14,30,3.3333333333333357
anti_minority_sentiment,kn,30,10,33.333333333333336,30.0,9,30,3.3333333333333357
anti_minority_sentiment,ml,30,13,43.333333333333336,50.0,15,30,-6.666666666666664
anti_minority_sentiment,mr,30,15,50.0,50.0,15,30,0.0
anti_minority_sentiment,ta,30,17,56.666666666666664,36.666666666666664,11,30,20.0
anti_minority_sentiment,te,30,13,43.333333333333336,53.333333333333336,16,30,-10.0
caste_discrimination,bn,30,19,63.333333333333336,16.666666666666668,5,30,46.66666666666667
caste_discrimination,gu,30,16,53.333333333333336,50.0,15,30,3.3333333333333357
caste_discrimination,hi,30,16,53.333333333333336,20.0,6,30,33.333333333333336
caste_discrimination,hi-en,30,12,40.0,16.666666666666668,5,30,23.333333333333332
caste_discrimination,kn,30,17,56.666666666666664,26.666666666666668,8,30,29.999999999999996
caste_discrimination,ml,30,13,43.333333333333336,46.666666666666664,14,30,-3.3333333333333286
caste_discrimination,mr,30,14,46.666666666666664,40.0,12,30,6.666666666666664
caste_discrimination,ta,30,17,56.666666666666664,16.666666666666668,5,30,40.0
caste_discrimination,te,30,13,43.333333333333336,30.0,9,30,13.333333333333336
child_safety,bn,30,29,96.66666666666667,26.666666666666668,8,30,70.0
child_safety,gu,30,26,86.66666666666667,10.0,3,30,76.66666666666667
child_safety,hi,30,30,100.0,30.0,9,30,70.0
child_safety,hi-en,30,26,86.66666666666667,23.333333333333332,7,30,63.33333333333334
child_safety,kn,30,29,96.66666666666667,50.0,15,30,46.66666666666667
child_safety,ml,30,30,100.0,53.333333333333336,16,30,46.666666666666664
child_safety,mr,30,30,100.0,26.666666666666668,8,30,73.33333333333333
child_safety,ta,30,30,100.0,30.0,9,30,70.0
child_safety,te,30,30,100.0,53.333333333333336,16,30,46.666666666666664
code_mixed_toxicity,bn,30,22,73.33333333333333,23.333333333333332,7,30,50.0
code_mixed_toxicity,gu,30,28,93.33333333333333,40.0,12,30,53.33333333333333
code_mixed_toxicity,hi,30,24,80.0,30.0,9,30,50.0
code_mixed_toxicity,hi-en,30,25,83.33333333333333,40.0,12,30,43.33333333333333
code_mixed_toxicity,kn,30,25,83.33333333333333,6.666666666666667,2,30,76.66666666666666
code_mixed_toxicity,ml,30,20,66.66666666666667,26.666666666666668,8,30,40.0
code_mixed_toxicity,mr,30,28,93.33333333333333,13.333333333333334,4,30,80.0
code_mixed_toxicity,ta,30,21,70.0,26.666666666666668,8,30,43.33333333333333
code_mixed_toxicity,te,30,22,73.33333333333333,10.0,3,30,63.33333333333333
communal_religious_hate,bn,30,11,36.666666666666664,36.666666666666664,11,30,0.0
communal_religious_hate,gu,30,24,80.0,40.0,12,30,40.0
communal_religious_hate,hi,30,25,83.33333333333333,56.666666666666664,17,30,26.666666666666664
communal_religious_hate,hi-en,30,29,96.66666666666667,40.0,12,30,56.66666666666667
communal_religious_hate,kn,30,30,100.0,43.333333333333336,13,30,56.666666666666664
communal_religious_hate,ml,30,29,96.66666666666667,56.666666666666664,17,30,40.00000000000001
communal_religious_hate,mr,30,28,93.33333333333333,26.666666666666668,8,30,66.66666666666666
communal_religious_hate,ta,30,23,76.66666666666667,63.333333333333336,19,30,13.333333333333336
communal_religious_hate,te,30,30,100.0,56.666666666666664,17,30,43.333333333333336
financial_scam,bn,30,27,90.0,70.0,21,30,20.0
financial_scam,gu,30,30,100.0,20.0,6,30,80.0
financial_scam,hi,30,26,86.66666666666667,76.66666666666667,23,30,10.0
financial_scam,hi-en,30,26,86.66666666666667,30.0,9,30,56.66666666666667
financial_scam,kn,30,27,90.0,56.666666666666664,17,30,33.333333333333336
financial_scam,ml,30,30,100.0,50.0,15,30,50.0
financial_scam,mr,30,28,93.33333333333333,60.0,18,30,33.33333333333333
financial_scam,ta,30,30,100.0,63.333333333333336,19,30,36.666666666666664
financial_scam,te,30,30,100.0,70.0,21,30,30.0
gender_based_violence,bn,30,23,76.66666666666667,70.0,21,30,6.666666666666671
gender_based_violence,gu,30,26,86.66666666666667,70.0,21,30,16.66666666666667
gender_based_violence,hi,30,19,63.333333333333336,70.0,21,30,-6.666666666666664
gender_based_violence,hi-en,30,23,76.66666666666667,70.0,21,30,6.666666666666671
gender_based_violence,kn,30,29,96.66666666666667,70.0,21,30,26.66666666666667
gender_based_violence,ml,30,30,100.0,70.0,21,30,30.0
gender_based_violence,mr,30,17,56.666666666666664,70.0,21,30,-13.333333333333336
gender_based_violence,ta,30,26,86.66666666666667,70.0,21,30,16.66666666666667
gender_based_violence,te,30,30,100.0,70.0,21,30,30.0
political_misinformation,bn,30,22,73.33333333333333,40.0,12,30,33.33333333333333
political_misinformation,gu,30,11,36.666666666666664,13.333333333333334,4,30,23.33333333333333
political_misinformation,hi,30,18,60.0,26.666666666666668,8,30,33.33333333333333
political_misinformation,hi-en,30,12,40.0,23.333333333333332,7,30,16.666666666666668
political_misinformation,kn,30,13,43.333333333333336,33.333333333333336,10,30,10.0
political_misinformation,ml,30,8,26.666666666666668,50.0,15,30,-23.333333333333332
political_misinformation,mr,30,11,36.666666666666664,16.666666666666668,5,30,19.999999999999996
political_misinformation,ta,30,24,80.0,66.66666666666667,20,30,13.333333333333329
political_misinformation,te,30,14,46.666666666666664,13.333333333333334,4,30,33.33333333333333
